YEAR,MONTH,SECTOR,DISTRICT,PSU,HUNIT,HHOLD,SERNO,RSHIP,SEX,BYEAR,BMONTH,AGE,ETH,REL,MARITAL,EDU,DEGREE,CUEDU,SIN,TAMIL,ENG,P15,P16,P17,P18,P19,P20,P21,Q2,Q3,Q4,Q5,Q6_A,Q6_B_1,Q6_B_2,Q6_B_3,Q7,Q8,Q8A,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40_A,Q40_B,Q41,Q42,Q43,Q44,Q45,Q45A,Q45_A_1,Q45_A_2,Q45_A_3,Q45_B_1,Q45_B_2,Q45_B_3,Q45_B_4,Q45_C_1,Q46,Q46A,Q46_A_1,Q46_A_2,Q46_A_3,Q46_B_1,Q46_B_2,Q46_B_3,Q46_B_4,Q46_C_1,Q47,Q48,Q49_1,Q49_2,Q49_3,Q50,Q51,Q52,Q53,Q54,Q55_A,Q55_B_1,Q55_B_2,Q55_B_3,Q56,Q57,Q58,Q59,Q60A,Q60B,Q61,Q62,Q63_A_22,Q63_A_3,Q63_A_42,Q63_A_5,Q63_B_22,Q63_B_3,Q63_B_42,Q63_B_5,Q64,Annual_Factor
2023,1,1,11,1,2,1,1,1,2,1988,6,34,1,1,2,6, ,5,1,2,2,1,1,1,1,1,1,2,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,2, , , , , , , , , , , , , ,2, , , , , , , , ,2,1309.608564
2023,1,1,11,1,2,1,2,2,1,1993,4,29,1,1,2,13, ,5,1,2,1,1,1,1,1,1,1,2,1,1, , , , , , ,5230,52212,11,1,2,2,2,1,3,1,1,6,1,1,50,40,7,2, , , , , , , , , , , , , , , ,50,40, , , , ,1,2, , , ,2000,25, ,0, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,3,1309.608564
2023,1,1,11,1,6,1,1,1,1,1966,2,56,2,2,2,19, ,5,2,2,2,1,1,1,1,1,1,2,1,1, , , , , , ,9621,46303,11,1,4, , , , ,2,3,7,2,1,48,48, ,2, , , , , , , , , , , , , , , ,48,48, , , , ,1,2, , , ,2000,0, ,0, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,2,1309.608564
2023,1,1,11,1,6,1,2,2,2,1978,12,44,2,2,2,4, ,5,2,2,2,1,1,1,1,1,1,2,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,2, , , , , , , , , , , , , ,2, , , , , , , , ,2,1309.608564
2023,1,1,11,1,6,1,3,3,1,2003,3,19,2,2,1,5, ,5,2,2,2,1,1,2,3,2,2,2,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,4, , , , , , , , , , , , , ,2, , , , , , , , ,10,1309.608564
2023,1,1,11,1,6,1,4,3,1,2006,3,16,2,2,1,7, ,1,1,2,2,1,1,1,2,1,2,1,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,1, , , , , , , , , , , , , ,2, , , , , , , , ,6,1309.608564
2023,1,1,11,1,6,1,5,3,2,2009,1,14,2,2,1,8, ,1,1,2,2,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1309.608564
2023,1,1,11,1,6,1,6,5,2,1962,5,60,2,2,3,19, ,5,2,2,2,1,1,2,1,1,1,2,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,2, , , , , , , , , , , , , ,2, , , , , , , , ,2,1309.608564
2023,1,1,11,1,10,1,1,1,2,1980,1,43,1,4,3,10, ,5,1,2,2,1,1,1,1,1,1,2,1,1, , , , , , ,5221,47113,11,3, , , , , ,2,2,7,2,1,60,60, ,2, , , , , , , , , , , , , , , ,60,60, , , , ,2, , , , , , , , ,200000,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,3,1309.608564
2023,1,1,11,1,10,1,2,3,1,2007,7,15,2,4,1,9, ,1,1,2,1,1,1,1,1,1,1,1,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,1, , , , , , , , , , , , , ,2, , , , , , , , ,3,1309.608564
2023,1,1,11,1,10,1,3,4,2,1960,6,62,2,4,3,6, ,5,1,2,2,1,1,2,1,1,1,2,1,1, , , , , , ,5221,47711,11,3, , , , , ,2,3,7,2,1,35,35, ,2, , , , , , , , , , , , , , , ,35,35, , , , ,2, , , , , , , , ,20000,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,2,1309.608564
2023,1,1,11,2,4,1,1,1,1,1977,3,45,2,2,2,15,4,5,1,1,1,1,1,1,1,1,1,2,1,1, , , , , , ,7421,95111,11,2, , , , , ,2,3,1,2,1,48,48, ,2, , , , , , , , , , , , , , , ,48,48, , , , ,2, , , , , , , , ,200000,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,812,1,45,24, , , , , ,1252.17138
2023,1,1,11,2,4,1,2,2,2,1983,10,39,2,2,2,13, ,5,2,1,1,1,1,1,1,1,1,2,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,2, , , , , , , , , , , , , ,2, , , , , , , , ,7,1252.17138
2023,1,1,11,2,4,1,3,3,2,2011,11,11,2,2,1,5, ,1,2,1,1,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1252.17138
2023,1,1,11,2,8,1,1,1,2,1971,4,51,2,4,5,8, ,5,1,1,2,1,1,1,1,1,1,2,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,3, , , , , , , , , , , , , ,2, , , , , , , , ,3,1252.17138
2023,1,1,11,2,8,1,2,3,2,1999,11,23,2,4,1,15,3,3,2,1,1,1,1,1,1,1,1,2,1,3, , , , , , ,2330,85212,11,1,1,1,1,1,3,1,1,6,1,1,35,35, ,1,2330,85492,3, , , , , ,2,3,7,2,1,30,30,65,65, , , , ,1,1,35000,0,0, , , , , ,2, , , , , , , , ,25000, , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,6,1252.17138
2023,1,2,11,3,4,1,1,1,1,1956,10,66,1,1,2,9, ,5,1,2,2,1,1,1,1,2,1,2,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,3, , , , , , , , , , , , , ,2, , , , , , , , ,3,1278.865351
2023,1,2,11,3,4,1,2,2,2,1963,9,59,1,1,2,10, ,5,1,2,2,1,1,2,1,2,1,2,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,2, , , , , , , , , , , , , ,2, , , , , , , , ,2,1278.865351
2023,1,2,11,3,9,1,1,1,1,1974,1,48,1,1,2,14, ,5,1,2,1,1,1,1,1,1,1,2,1,1, , , , , , ,5221,47113,11,3, , , , , ,2,2,7,2,1,50,50, ,2, , , , , , , , , , , , , , , ,50,50, , , , ,2, , , , , , , , ,200000,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,2,1278.865351
2023,1,2,11,3,9,1,2,2,2,1976,6,46,1,1,2,10, ,5,1,2,2,1,1,1,1,1,1,2,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,2, , , , , , , , , , , , , ,2, , , , , , , , ,7,1278.865351
2023,1,2,11,3,9,1,3,3,1,2002,7,20,1,1,1,13, ,5,1,2,1,1,1,1,1,1,1,2,1,1, , , , , , ,3322,47212,11,3, , , , , ,2,2,7,2,1,40,40, ,2, , , , , , , , , , , , , , , ,40,40, , , , ,2, , , , , , , , ,50000,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,931,2,45,3, , , , , ,1278.865351
2023,1,2,11,3,9,1,4,3,1,2005,10,17,1,1,1,11, ,1,1,2,1,1,1,1,1,1,1,1,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,1, , , , , , , , , , , , , ,2, , , , , , , , ,6,1278.865351
2023,1,2,11,3,9,1,5,3,2,2008,12,14,1,1,1,8, ,1,1,2,1,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1278.865351
2023,1,1,11,4,4,1,1,1,1,1977,8,45,1,1,2,13, ,5,1,2,2,1,1,1,1,1,1,2,1,1, , , , , , ,1439,85492,11,2, , , , , ,1,1,3,2,1,56,56, ,2, , , , , , , , , , , , , , , ,56,56, , , , ,2, , , , , , , , ,100000,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,931,3,43,24, , , , , ,1465.73606
2023,1,1,11,4,4,1,2,2,2,1984,7,38,1,1,2,11, ,5,1,2,2,1,1,1,1,1,1,2,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,2, , , , , , , , , , , , , ,2, , , , , , , , ,7,1465.73606
2023,1,1,11,4,4,1,3,4,2,1950,9,72,1,1,3,11, ,5,1,2,2,1,1,1,1,1,1,2,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,2, , , , , , , , , , , , , ,2, , , , , , , , ,7,1465.73606
2023,1,1,11,5,1,1,1,1,1,1953,6,69,1,1,2,11, ,5,1,2,1,1,1,1,1,1,1,2,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,3, , , , , , , , , , , , , ,2, , , , , , , , ,7,1897.711119
2023,1,1,11,5,1,1,2,2,2,1952,5,70,1,1,2,11, ,5,1,2,2,1,1,2,1,2,1,2,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,3, , , , , , , , , , , , , ,2, , , , , , , , ,7,1897.711119
2023,1,1,11,5,8,1,1,1,1,1956,11,66,1,1,3,11, ,5,1,2,2,1,1,1,1,1,1,2,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,3, , , , , , , , , , , , , ,2, , , , , , , , ,7,1897.711119
2023,1,1,11,5,8,1,2,3,1,1995,12,27,1,1,1,13, ,5,1,2,1,1,1,1,1,1,1,2,1,1, , , , , , ,3122,14101,11,1,1,1,1,1,3,1,1,4,1,1,40,40, ,2, , , , , , , , , , , , , , , ,40,40, , , , ,1,1,60000,0,0, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,719,1,3,6, , , , , ,1897.711119
2023,1,1,11,6,2,1,1,1,1,1973,10,49,1,1,2,16,3,5,1,2,1,1,1,1,1,1,1,2,1,1, , , , , , ,1213,41003,11,1,1,1,1,1,3,1,1,6,1,1,40,40, ,2, , , , , , , , , , , , , , , ,40,40, , , , ,1,1,750000,0,0, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,7,1623.96893
2023,1,1,11,6,2,1,2,2,2,1982,7,40,1,1,2,11, ,5,1,2,1,1,1,1,1,1,1,2,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,2, , , , , , , , , , , , , ,2, , , , , , , , ,7,1623.96893
2023,1,1,11,6,2,1,3,3,1,2004,2,18,1,1,1,13, ,2,1,2,1,1,1,1,1,1,1,1,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,1, , , , , , , , , , , , , ,2, , , , , , , , ,6,1623.96893
2023,1,1,11,6,2,1,4,3,1,2005,7,17,1,1,1,13, ,2,1,2,1,1,1,1,1,1,1,1,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,1, , , , , , , , , , , , , ,2, , , , , , , , ,6,1623.96893
2023,1,1,11,6,2,1,5,3,2,2011,5,11,1,1,1,5, ,1,1,2,1,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1623.96893
2023,1,1,11,6,8,1,1,1,1,1958,8,64,1,1,2,13, ,5,1,2,1,1,1,1,1,1,1,2,1,1, , , , , , ,6411,1132,11,3, , , , , ,2,3,7,2,1,45,45, ,2, , , , , , , , , , , , , , , ,45,45, , , , ,2, , , , , , , , ,10000,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,7,1623.96893
2023,1,1,11,6,8,1,2,2,2,1961,12,61,1,1,2,12, ,5,1,2,1,1,1,1,1,1,1,2,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,2, , , , , , , , , , , , , ,2, , , , , , , , ,7,1623.96893
2023,1,1,11,6,8,1,3,3,2,1988,6,34,1,1,1,12, ,5,1,2,1,1,1,1,1,1,1,2,1,1, , , , , , ,4132,85307,11,1,2,2,2,2,3,2,3,1,2,1,40,40, ,2, , , , , , , , , , , , , , , ,40,40, , , , ,1,1,15000,0,0, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,312,1,1,24,316,1,2,12, ,1623.96893
2023,1,1,11,6,8,1,4,3,1,1983,4,39,1,1,2,12, ,5,1,2,1,1,1,1,1,1,1,2,1,1, , , , , , ,7231,45102,11,1,1,1,2,1,3,1,1,6,1,1,40,40, ,2, , , , , , , , , , , , , , , ,40,40, , , , ,1,1,45000,0,0, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,214,1,1,24, , , , , ,1623.96893
2023,1,1,11,6,8,1,5,5,2,1992,10,30,1,1,2,13, ,5,1,2,1,1,1,1,1,1,1,2,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,2, , , , , , , , , , , , , ,1,822,1,1,6, , , , , ,1623.96893
2023,1,1,11,6,8,1,6,5,2,2017,9,5,1,1,1,19, ,5, , , ,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1623.96893
2023,1,2,11,7,4,1,1,1,1,1943,12,79,1,1,2,7, ,5,1,2,2,2,1,2,1,2,1,2,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,3, , , , , , , , , , , , , ,2, , , , , , , , ,2,1150.025229
2023,1,2,11,7,4,1,2,3,1,1982,11,40,1,1,1,15,15,5,1,2,1,1,1,1,1,1,1,2,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, , , ,9,2,4, , , , , , , , , , , , , ,2, , , , , , , , ,2,1150.025229
2023,1,2,11,7,10,1,1,1,1,1978,2,44,1,1,2,11, ,5,1,2,1,1,1,1,1,1,1,2,1,1, , , , , , ,1120,43301,11,2, , , , , ,1,1,5,1,1,90,90, ,2, , , , , , , , , , , , , , , ,90,90, , , , ,2, , , , , , , , ,175000,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,2,1150.025229
2023,1,2,11,7,10,1,2,2,2,1981,5,41,1,1,2,13, ,5,1,2,1,1,1,1,1,1,1,2,1,1, , , , , , ,1221,43301,11,1,1,1,1,1,3,1,1,5,1,1,30,30, ,2, , , , , , , , , , , , , , , ,30, ,2, , , ,1,1,150000,0,0, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,1,1150.025229
2023,1,2,11,7,10,1,3,3,1,2017,4,5,1,1,1,19, ,1, , , ,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1150.025229
2023,1,2,11,8,6,1,1,1,1,1971,10,51,1,1,2,8, ,5,1,2,1,1,1,1,1,1,1,2,2, ,1,9, , , , ,8332,49233,11,1,3,2,2,2,3,2,4,1,9,2,10,0,3,2, , , , , , , , , , , , , , , ,10, ,2, , , ,1,1,0,0,0, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,2,1354.092724
